Unnamed: 0,EE Name,EE username,SUP NAME,SUP username,EE Email,EE Job Title
251,"Santos, Luca",lsantos2,"Estrada, Wesley",westrada,lsantos2@example.com,"(job title placeholder, update sheet)"
252,"Estrada, Rafa",restrada2,"Bautista, Rafa",rbautista2,restrada2@example.com,"(job title placeholder, update sheet)"
253,"Estrada, Noemi",nestrada,"Estrada, Wesley",westrada,nestrada@example.com,"(job title placeholder, update sheet)"
254,"Jimenez, Bea",bjimenez,"Avondo, Charade",cavondo,bjimenez@example.com,BD Manager
255,"Zamora, Luca",lzamora,"Jimenez, Bea",bjimenez,lzamora@example.com,"(job title placeholder, update sheet)"
256,"Lopez, Bea",blopez,"Jimenez, Bea",bjimenez,blopez@example.com,"(job title placeholder, update sheet)"
257,"Velasco, Gio",gvelasco2,"Lopez, Bea",blopez,gvelasco2@example.com,"(job title placeholder, update sheet)"
258,"Velasco, Helena",hvelasco,"Avondo, Charade",cavondo,hvelasco@example.com,HR Manager
259,"Lopez, Daria",dlopez2,"Velasco, Helena",hvelasco,dlopez2@example.com,HRBP
260,"Ramirez, Yasmin",yramirez,"Velasco, Helena",hvelasco,yramirez@example.com,HRBP
261,"Torres, Noemi",ntorres,"Velasco, Helena",hvelasco,ntorres@example.com,HRBP
262,"Estrada, Xena",xestrada,"Avondo, Charade",cavondo,xestrada@example.com,Consultant
263,"Fernandez, Helena",hfernandez2,"Alvarez, Rafa",ralvarez3,hfernandez2@example.com,"(job title placeholder, update sheet)"
265,"Zamora, Zeke",zzamora,"Alvarez, Rafa",ralvarez3,zzamora@example.com,"(job title placeholder, update sheet)"
266,"Navarro, Fiona",fnavarro,"Avondo, Charade",cavondo,fnavarro@example.com,Operations Manager
267,"Fernandez, Aiden",afernandez,"Navarro, Fiona",fnavarro,afernandez@example.com,"(job title placeholder, update sheet)"
268,"Klein, Xena",xklein3,"Navarro, Fiona",fnavarro,xklein3@example.com,"(job title placeholder, update sheet)"
269,"Navarro, Zeke",znavarro,"Navarro, Fiona",fnavarro,znavarro@example.com,"(job title placeholder, update sheet)"
270,"Velasco, Zeke",zvelasco,"Navarro, Fiona",fnavarro,zvelasco@example.com,"(job title placeholder, update sheet)"
271,"Zamora, Xena",xzamora,"Navarro, Fiona",fnavarro,xzamora@example.com,"(job title placeholder, update sheet)"
272,"Ibarra, Helena",hibarra2,"Navarro, Fiona",fnavarro,hibarra2@example.com,"(job title placeholder, update sheet)"
273,"Zamora, Fiona",fzamora2,"Navarro, Fiona",fnavarro,fzamora2@example.com,"(job title placeholder, update sheet)"
274,"Domingo, Wesley",wdomingo,"Navarro, Fiona",fnavarro,wdomingo@example.com,"(job title placeholder, update sheet)"
275,"Bautista, Mira",mbautista2,"Fernandez, Aiden",afernandez,mbautista2@example.com,"(job title placeholder, update sheet)"
276,"Hernandez, Pia",phernandez,"Fernandez, Aiden",afernandez,phernandez@example.com,"(job title placeholder, update sheet)"
277,"Ortega, Gio",gortega,"Fernandez, Aiden",afernandez,gortega@example.com,"(job title placeholder, update sheet)"
278,"Jimenez, Luca",ljimenez,"Fernandez, Aiden",afernandez,ljimenez@example.com,"(job title placeholder, update sheet)"
279,"Hernandez, Zeke",zhernandez,"Klein, Xena",xklein3,zhernandez@example.com,"(job title placeholder, update sheet)"
280,"Alvarez, Helena",halvarez,"Navarro, Zeke",znavarro,halvarez@example.com,"(job title placeholder, update sheet)"
281,"Garcia, Vince",vgarcia,"Navarro, Zeke",znavarro,vgarcia@example.com,"(job title placeholder, update sheet)"
282,"Klein, Mira",mklein,"Navarro, Zeke",znavarro,mklein@example.com,"(job title placeholder, update sheet)"
283,"Cruz, Isaac",icruz2,"Navarro, Zeke",znavarro,icruz2@example.com,"(job title placeholder, update sheet)"
284,"Ibarra, Yasmin",yibarra,"Navarro, Zeke",znavarro,yibarra@example.com,"(job title placeholder, update sheet)"
285,"Uy, Luca",luy,"Navarro, Zeke",znavarro,luy@example.com,"(job title placeholder, update sheet)"
286,"Mendoza, Quentin",qmendoza,"Navarro, Zeke",znavarro,qmendoza@example.com,"(job title placeholder, update sheet)"
287,"Ramirez, Vince",vramirez,"Navarro, Zeke",znavarro,vramirez@example.com,"(job title placeholder, update sheet)"
288,"Alvarez, Kieran",kalvarez,"Navarro, Zeke",znavarro,kalvarez@example.com,"(job title placeholder, update sheet)"
289,"Ibarra, Daria",dibarra,"Navarro, Zeke",znavarro,dibarra@example.com,"(job title placeholder, update sheet)"
290,"Santos, Fiona",fsantos,"Navarro, Zeke",znavarro,fsantos@example.com,"(job title placeholder, update sheet)"
291,"Bautista, Isaac",ibautista2,"Navarro, Zeke",znavarro,ibautista2@example.com,"(job title placeholder, update sheet)"
292,"Torres, Daria",dtorres,"Velasco, Zeke",zvelasco,dtorres@example.com,"(job title placeholder, update sheet)"
293,"Lopez, Noemi",nlopez,"Velasco, Zeke",zvelasco,nlopez@example.com,"(job title placeholder, update sheet)"
294,"Zamora, Xena",xzamora2,"Velasco, Zeke",zvelasco,xzamora2@example.com,"(job title placeholder, update sheet)"
295,"Navarro, Kieran",knavarro,"Velasco, Zeke",zvelasco,knavarro@example.com,"(job title placeholder, update sheet)"
296,"Quintos, Tomas",tquintos,"Velasco, Zeke",zvelasco,tquintos@example.com,"(job title placeholder, update sheet)"
297,"Mendoza, Daria",dmendoza2,"Ibarra, Helena",hibarra2,dmendoza2@example.com,"(job title placeholder, update sheet)"
298,"Garcia, Selene",sgarcia,"Ibarra, Helena",hibarra2,sgarcia@example.com,"(job title placeholder, update sheet)"
299,"Bautista, Isaac",ibautista3,"Zamora, Xena",xzamora,ibautista3@example.com,"(job title placeholder, update sheet)"
300,"Navarro, Wesley",wnavarro3,"Zamora, Xena",xzamora,wnavarro3@example.com,"(job title placeholder, update sheet)"
302,"Quintos, Aiden",aquintos,"Garcia, Helena",hgarcia,aquintos@example.com,BG Supervisor
303,"Ramirez, Zeke",zramirez2,"Quintos, Aiden",aquintos,zramirez2@example.com,DE
